,pixel_r,pixel_g,pixel_b,local_r,local_g,local_b,edges_r,edges_g,edges_b,label
1100,55,66,50,64,68,53,66,66,53,norm_pervious
1101,57,69,49,36,47,28,34,42,26,norm_pervious
1102,36,53,34,39,48,30,39,45,31,norm_pervious
1103,24,23,18,29,35,23,41,47,32,shaded_pervious
1104,26,28,23,34,40,28,43,49,35,shaded_pervious
1105,23,22,17,30,36,24,44,49,35,shaded_pervious
1106,35,38,29,35,39,26,34,39,26,shaded_pervious
1107,28,29,21,29,35,22,41,47,33,shaded_pervious
1108,47,56,37,42,49,34,44,48,37,norm_pervious
1109,45,55,31,38,43,26,37,42,25,norm_pervious
1110,32,46,29,35,45,28,38,45,30,norm_pervious
1111,48,61,35,40,48,28,39,45,28,norm_pervious
1112,78,68,58,69,64,49,51,50,35,dry_pervious
1113,80,74,58,68,64,49,51,50,35,dry_pervious
1114,63,63,55,61,62,46,45,49,36,dry_pervious
1115,79,76,59,67,62,47,51,50,35,dry_pervious
1116,38,49,33,39,46,29,38,44,28,norm_pervious
1117,41,54,36,35,46,26,39,46,28,norm_pervious
1118,67,73,71,76,80,76,84,87,82,norm_impervious
1119,67,69,64,66,68,63,66,69,61,norm_impervious
1120,80,82,77,71,74,67,72,75,65,norm_impervious
1121,77,82,78,79,82,76,71,73,65,norm_impervious
1122,73,75,74,77,81,79,86,89,83,norm_impervious
1123,85,89,90,87,91,88,88,91,86,norm_impervious
1124,83,82,77,83,84,81,95,96,93,norm_impervious
1125,96,97,91,83,84,80,94,95,92,norm_impervious
1126,140,145,148,142,148,151,115,110,113,norm_impervious
1127,200,207,213,182,192,197,137,143,149,norm_impervious
1128,141,145,148,141,144,147,177,183,189,norm_impervious
1129,176,183,189,177,183,189,160,165,171,norm_impervious
1130,165,171,171,171,176,181,159,163,167,norm_impervious
1131,178,187,192,179,189,195,143,148,154,norm_impervious
1132,177,198,201,183,194,200,143,149,155,norm_impervious
1133,141,146,149,140,146,148,111,114,118,norm_impervious
1134,152,155,160,154,158,162,127,127,131,norm_impervious
1135,126,133,139,138,143,148,122,125,129,norm_impervious
1136,77,82,78,78,81,78,83,85,79,norm_impervious
1137,73,75,72,78,82,77,78,81,74,norm_impervious
1138,77,78,73,75,76,74,92,93,90,norm_impervious
1139,87,93,83,77,78,75,81,82,80,norm_pervious
1140,72,72,72,72,71,72,87,89,86,norm_impervious
1141,78,81,72,73,73,71,90,91,89,norm_pervious
1142,90,89,84,84,84,80,96,97,93,norm_impervious
1143,83,86,75,84,86,78,67,70,60,norm_impervious
1144,86,87,82,78,80,68,61,63,52,norm_impervious
1145,93,95,90,83,85,77,65,69,56,norm_impervious
1146,88,95,87,79,81,69,62,65,53,norm_impervious
1147,91,93,82,79,82,67,64,67,56,norm_impervious
1148,83,85,80,82,84,73,64,65,53,norm_impervious
1149,83,85,84,77,79,67,59,62,51,norm_impervious
1150,84,87,80,75,77,68,63,66,55,norm_impervious
1151,75,76,68,74,76,64,65,68,57,norm_impervious
1152,84,86,75,78,79,69,59,60,46,norm_impervious
1153,80,84,70,79,81,72,59,61,47,norm_impervious
1154,86,91,85,79,81,69,62,65,54,norm_impervious
1155,71,72,66,68,71,65,70,73,65,norm_impervious
1156,76,77,72,69,71,65,65,68,58,norm_impervious
1157,82,70,58,65,61,46,51,50,36,dry_pervious
